Id,Rating
1160,0.0
649,0.0
587,0.0
1349,0.0
1341,0.0
719,0.0
972,0.0
726,0.0
1202,0.0
1305,0.0
1130,0.0
746,0.0
713,0.0
1458,0.7
747,1.2
1426,1.4
1249,1.5
947,1.6
1495,1.6
1497,1.8
1262,1.9
761,1.9
260,1.9
547,1.9
1367,2.0
745,2.1
1494,2.1
109,2.1
855,2.1
1476,2.2
769,2.2
1270,2.2
1321,2.3
1267,2.3
581,2.3
766,2.3
1352,2.3
1366,2.3
949,2.4
1201,2.4
1142,2.4
1261,2.4
563,2.4
1448,2.4
290,2.4
276,2.4
760,2.4
1339,2.4
237,2.5
685,2.5
504,2.5
495,2.5
1122,2.5
1137,2.5
228,2.5
1310,2.5
1196,2.5
1490,2.5
1445,2.5
1484,2.5
1244,2.5
1235,2.5
1228,2.5
661,2.6
662,2.6
667,2.6
1432,2.6
38,2.6
364,2.6
814,2.6
313,2.6
1053,2.6
1214,2.6
317,2.7
1389,2.7
1191,2.7
57,2.7
1419,2.7
1376,2.7
1331,2.7
734,2.7
1165,2.7
632,2.7
1076,2.7
1245,2.7
1054,2.7
383,2.7
646,2.7
833,2.7
959,2.7
1449,2.8
1447,2.8
1407,2.8
1492,2.8
294,2.8
1444,2.8
1189,2.8
700,2.8
1333,2.8
1289,2.8
1256,2.8
1251,2.8
775,2.8
842,2.8
1227,2.8
1216,2.8
1032,2.8
1064,2.8
1070,2.8
1127,2.8
1199,2.8
1379,2.8
755,2.8
1511,2.8
100,2.8
189,2.9
1370,2.9
1232,2.9
1273,2.9
234,2.9
971,2.9
606,2.9
1129,2.9
1320,2.9
1236,2.9
1438,2.9
1023,2.9
1462,2.9
501,2.9
1093,2.9
1480,2.9
981,2.9
510,2.9
1117,2.9
456,2.9
1414,2.9
1508,2.9
1482,2.9
1200,2.9
243,2.9
1184,2.9
750,2.9
1483,2.9
1461,3.0
292,3.0
1317,3.0
973,3.0
1358,3.0
334,3.0
670,3.0
924,3.0
1377,3.0
553,3.0
8,3.0
699,3.0
929,3.0
303,3.0
545,3.0
590,3.0
266,3.0
1170,3.0
612,3.0
624,3.0
729,3.0
1299,3.0
1126,3.0
258,3.0
621,3.0
1001,3.0
1041,3.0
843,3.0
637,3.0
784,3.0
1293,3.0
1411,3.0
1296,3.0
1334,3.1
1464,3.1
773,3.1
1278,3.1
569,3.1
1372,3.1
1477,3.1
890,3.1
295,3.1
1175,3.1
1340,3.1
219,3.1
282,3.1
1412,3.1
1357,3.1
926,3.1
1502,3.1
1356,3.1
937,3.1
1399,3.1
1135,3.1
1345,3.1
486,3.1
1300,3.1
406,3.1
1033,3.1
996,3.1
135,3.1
